estado;bairro;municipio;banco;ano
Espírito Santo;Planalto Serrano;Serra;ABraÇo;2011
Espírito Santo;Central Carapina;Serra;Passarela;2013
Espírito Santo;Vila Nova de Colares;Serra;Viver;2013
Espírito Santo;Nova Palestina;São Pedro;Puã;2011
Espírito Santo;Vista Dourada;Cariacica;Sol;2008
Espírito Santo;S.I;Vitória;Bem de Perto Andorinhas;S.I
Espírito Santo;S.I;Vitória;Bem de Perto;S.I
Espírito Santo;São Benedito;Vitória;Bem;2006
Espírito Santo;Cristal do Norte;Pedro Canário;União;2013
Espírito Santo;Nova Rosa da Penha II;Cariacica;Esperança;2011
Espírito Santo;Ataíde;Vila Velha;Verde Vida;2008
Espírito Santo;Terra Vermelha;Vila Velha;Terra;2007
Espírito Santo;Jacaraípe;Serra;Mar;2013
São Paulo;Carapicuiba;Carapicuiba;Tonato;2011
São Paulo;Inácio Monteiro;São Paulo;Paulo Freire;2009
São Paulo;Jardim Apuanã;São Paulo;Apuanã;2009
São Paulo;Santa Eudoxia;São Carlos;Santa Eudoxia;2012
São Paulo;Jardim Gonzaga;São Carlos;Nascente;2011
São Paulo;Jardim São Luís;São Paulo;Autogestão;2009
São Paulo;Jardim Maria Sampaio;São Paulo;União Sampaio;2009
São Paulo;Jardim Silvina;São Bernardo do Campo;Padre Leo Commissari;2011
São Paulo;Fazendinha;Santana do Parnaíba;Ativa FZA;2019
São Paulo;Vila Real;Várzea Paulista;Orquídea;2011
Rio de Janeiro;Lapa;Rio de Janeiro;Cultura;2018
Rio de Janeiro;Cidade de Deus;Rio de Janeiro;Cidade de Deus;2011
Rio de Janeiro;Niteroi;Rio de Janeiro;Fundinho;2009
Rio de Janeiro;Charitas;Niterói;Preventório;2011
Rio de Janeiro;Silva Jardim;Silva Jardim;Capivari;2010
Rio de Janeiro;Marica;Marica;Mumbuca;2013
Rio de Janeiro;Niteroi;Niteroi;Arariboia;2021
Minas Gerais;Chapada Gaúcha;Chapada Gaúcha;Chapadense;2009
Minas Gerais;Esmeraldas;Esmeraldas;Esmeralda;2011
Minas Gerais;Teófilo Rocha;Teófilo Otoni;Banclisa;2011
Santa Catarina;Serrinha;Florianópolis;ICOM;2020
Santa Catarina;Chico  Mendes;Florianópolis;ICOM;2020
Santa Catarina;Nossa  Senhora da Glória;Florianópolis;ICOM;2020
Santa Catarina;Novo  Horizonte;Florianópolis;ICOM;2020
Santa Catarina;Monte Cristo;Florianópolis;ICOM;2020
Santa Catarina;Morro do Mocotó;Florianópolis;ICOM;2020
Santa Catarina;Comunidade da Praia;Florianópolis;ICOM;2020
Santa Catarina;Campeche;Florianópolis;Costeira;2020
Rio Grande do Sul;Sarandi;Porto Alegre;Banco  Justa Troca;2016
Rio Grande do Sul;Vila  1o. De Maio;Porto Alegre;Banco Cascata;2016
Rio Grande do Sul;S.I;S.I;Banco Grão;2017
