Banco,Latitude,Longitude,Estado,Bairro,Municipio,Fundação
Bancart,-3.7466828,-39.7840904,Ceará,Irauçuba,Irauçuba,2006
Amizade,-3.747227758,-39.78008724,Ceará,Cruzeiro,Irauçuba,2008
Juazeiro,-3.745846687,-39.7785453,Ceará,Juá,Irauçuba,2008
Itasol,-3.965768,-38.529763,Ceará,Itaitinga,Itaitinga,2011
Tremembé,-2.9393495,-39.8289012,Ceará,Almofala,Itarema,2008
Timbaubas,-7.215468751,-39.30293659,Ceará,Timbaúbas,Juazeiro do Norte,2011
Bansol,-4.760803,-39.4834734,Ceará,Macaoca,Madalena,2008
Paju,-3.8779438,-38.6247697,Ceará,Maracanaú,Maracanaú,2006
Jaçana,-3.8800328,-38.61071686,Ceará,Jereissati,Maracanaú,2008
Empreendedores,-3.8922967,-38.6835427,Ceará,Maranguape,Maranguape,2006
Itapebussu,-4.028616776,-38.9265555,Ceará,Itapebussu,Maranguape,2008
Buriti,-7.3870095,-38.7737751,Ceará,Mauriti,Mauriti,2011
Serra das Matas,-4.7879512,-40.063949,Ceará,Monsenhor Tabosa,Monsenhor Tabosa,2008
Ocards,-4.4910653,-38.5964829,Ceará,Ocara,Ocara,2008
Pacatubano,-3.9841,-38.6180383,Ceará,Pacatuba,Pacatuba,2011
Artpalha,-4.7449408,-37.9608401,Ceará,Palhano,Palhano,2008
Serrano,-4.1478012,-38.8460317,Ceará,Palmácia,Palmácia,2005
Par,-3.41436,-39.030028,Ceará,Paracuru,Paracuru,2004
Frei Diogo,-4.0964461,-39.2390411,Ceará,Paramoti,Paramoti,2007
Quixadá,-4.9706021,-39.0158403,Ceará,Quixadá,Quixadá,2011
BASSA,-3.4596492,-40.2090987,Ceará,S.I,Santana do Acaraú,2005
Feiticeiro,-4.8330075,-40.3210323,Ceará,Tamboril,Tamboril,2008
Quinamuiu,-6.0031372,-40.2947268,Ceará,Tauá,Tauá,2007
Ceilândia,-15.8173391,-48.1045766,Distrito Federal,S.I,Ceilândia,2016
Estrutural,-15.778985,-47.9934361,Distrito Federal,Cidade Estrutural,Cidade Estrutural,2012
Itapoã,-15.74334214,-47.76049489,Distrito Federal,Itapoã,Itapoã,2012
Planaltina,-15.6181947,-47.6555703,Distrito Federal,Planaltina-DF,Planaltina (DF),sem dados
Pequi,-16.4407981,-51.1181188,Goias,Iporá,Iporá,2012
Ita,-22.5286917,-55.723426,Mato Grosso do Sul,Ponta Porã,Ponta Porã,2012
Pirê,-22.2206145,-54.812208,Mato Grosso do Sul,Dourados,Dourados,2006
Pantanal,-20.4832458,-55.8048448,Mato Grosso do Sul,Anastácio,Anastácio,2013
Cerrado,-16.4603533,-54.6397099,Mato Grosso,Rondonópolis,Rondonópolis,2012
Raiz,-9.8698547,-56.0834993,Mato Grosso,Alta Floresta,Alta Floresta,2013
Aroeira,-15.5986686,-56.0991301,Mato Grosso,S.I,Cuiabá,2012
Kiri-Kere,-18.6969307,-40.3934634,Espírito Santo,Rubia,Nova Venécia,2017
Caparao,-20.5835656,-41.7613221,Espírito Santo,Patrimônio da Penha,Divino de São Lourenço,2017
ABraÇo,-20.1293025,-40.2809199,Espírito Santo,Planalto Serrano,Serra,2011
Passarela,-20.2194255,-40.2753505,Espírito Santo,Central Carapina,Serra,2013
Viver,-20.1814623,-40.21015,Espírito Santo,Vila Nova de Colares,Serra,2013
Puã,-20.2721397,-40.3268749,Espírito Santo,Nova Palestina,São Pedro,2011
Sol,-20.3333586,-40.4295698,Espírito Santo,Vista Dourada,Cariacica,2008
Bem de Perto Andorinhas,-20.3200917,-40.3376682,Espírito Santo,S.I,Vitória,S.I
Bem de Perto,-20.31543846,-40.34117822,Espírito Santo,S.I,Vitória,S.I
Bem,-18.7381714,-39.8612654,Espírito Santo,São Benedito,Vitória,2006
União,-18.0828478,-40.09614486,Espírito Santo,Cristal do Norte,Pedro Canário,2013
Esperança,-20.263202,-40.416549,Espírito Santo,Nova Rosa da Penha II,Cariacica,2011
Verde Vida,-20.3436454,-40.3238591,Espírito Santo,Ataíde,Vila Velha,2008
Terra,-20.4434487,-40.3514806,Espírito Santo,Terra Vermelha,Vila Velha,2007
Mar,-20.15935905,-40.18533491,Espírito Santo,Jacaraípe,Serra,2013
Tonato,-23.5234673,-46.8406808,São Paulo,Carapicuiba,Carapicuiba,2011
Paulo Freire,-23.5716262,-46.399928,São Paulo,Inácio Monteiro,São Paulo,2009
Apuanã,-23.4524735,-46.5856689,São Paulo,Jardim Apuanã,São Paulo,2009
Santa Eudoxia,-21.73366905,-47.85151828,São Paulo,Santa Eudoxia,São Carlos,2012
Nascente,-22.0439036,-47.8930464,São Paulo,Jardim Gonzaga,São Carlos,2011
